#{"t_start": 1763486636.7950091, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.014872
12.0,12,0.025423
17.0,17,0.040043
24.0,24,0.060503
30.0,30,0.086309
24.0,24,0.107515
22.0,22,0.126915
9.0,9,0.135356
12.0,12,0.146
49.0,49,0.190497
27.0,27,0.214967
15.0,15,0.228601
38.0,38,0.297912
19.0,19,0.316018
50.0,50,0.363195
20.0,20,0.382577
14.0,14,0.396372
60.0,60,0.453269
12.0,12,0.464649
11.0,11,0.475056
43.0,43,0.548537
17.0,17,0.56457
13.0,13,0.576852
18.0,18,0.594134
12.0,12,0.60552
30.0,30,0.633697
11.0,11,0.644201
30.0,30,0.672354
39.0,39,0.709473
29.0,29,0.737069
14.0,14,0.750683
16.0,16,0.766256
20.0,20,0.785152
10.0,10,0.827489
17.0,17,0.843521
11.0,11,0.853955
16.0,16,0.868979
35.0,35,0.901871
27.0,27,0.931274
28.0,28,0.958335
17.0,17,0.974808
35.0,35,1.009015
52.0,52,1.058811
31.0,31,1.120931
19.0,19,1.138826
20.0,20,1.157589
15.0,15,1.172502
11.0,11,1.183797
21.0,21,1.204079
20.0,20,1.223351
32.0,32,1.25511
41.0,41,1.295785
36.0,36,1.33149
18.0,18,1.348953
20.0,20,1.402971
28.0,28,1.435308
61.0,61,1.495458
54.0,54,1.550151
14.0,14,1.564334
16.0,16,1.5805
42.0,42,1.623029
36.0,36,1.692377
27.0,27,1.718766
13.0,13,1.731502
14.0,14,1.745175
11.0,11,1.755914
25.0,25,1.780384
27.0,27,1.806628
20.0,20,1.826148
14.0,14,1.840166
19.0,19,1.85867
26.0,26,1.884215
52.0,52,1.968783
17.0,17,1.985812
13.0,13,2.00234
33.0,33,2.035679
10.0,10,2.045458
23.0,23,2.068666
17.0,17,2.086303
32.0,32,2.119161
49.0,49,2.170029
15.0,15,2.185682
10.0,10,2.195806
22.0,22,2.217871
21.0,21,2.274177
20.0,20,2.29374
51.0,51,2.344819
36.0,36,2.38092
18.0,18,2.399025
13.0,13,2.412389
21.0,21,2.436499
13.0,13,2.449531
22.0,22,2.471479
24.0,24,2.495373
52.0,52,2.584594
18.0,18,2.60233
64.0,64,2.664314
33.0,33,2.696341
23.0,23,2.71886
19.0,19,2.737318
19.0,19,2.755823
27.0,27,2.78202
39.0,39,2.853931
13.0,13,2.866649
40.0,40,2.905454
17.0,17,2.921991
14.0,14,2.935624
23.0,23,2.957932
26.0,26,2.983896
57.0,57,3.039224
32.0,32,3.070284
30.0,30,3.133441
23.0,23,3.155788
21.0,21,3.176451
11.0,11,3.187669
27.0,27,3.21386
28.0,28,3.243109
36.0,36,3.278227
62.0,62,3.338826
26.0,26,3.364035
25.0,25,3.422365
21.0,21,3.442802
91.0,91,3.530902
45.0,45,3.574833
29.0,29,3.603065
20.0,20,3.622562
24.0,24,3.645887
66.0,66,3.74432
24.0,24,3.767639
38.0,38,3.804535
14.0,14,3.818242
28.0,28,3.845585
96.0,96,3.943405
19.0,19,3.998405
50.0,50,4.048226
89.0,89,4.142769
15.0,15,4.159143
97.0,97,4.294338
17.0,17,4.311416
78.0,78,4.389024
79.0,79,4.478942
20.0,20,4.498445
13.0,13,4.511173
45.0,45,4.587844
57.0,57,4.641242
51.0,51,4.690182
17.0,17,4.706735
30.0,30,4.735832
16.0,16,4.751374
18.0,18,4.768894
31.0,31,4.798939
23.0,23,4.821311
46.0,46,4.906475
19.0,19,4.927513
38.0,38,4.964435
55.0,55,5.018042
11.0,11,5.028799
85.0,85,5.111103
24.0,24,5.175683
18.0,18,5.194121
67.0,67,5.263135
67.0,67,5.33001
24.0,24,5.354019
26.0,26,5.379966
16.0,16,5.39593
18.0,18,5.413585
32.0,32,5.480801
32.0,32,5.511664
18.0,18,5.529394
41.0,41,5.57022
61.0,61,5.63138
87.0,87,5.75609
21.0,21,5.780813
54.0,54,5.832874
22.0,22,5.854666
17.0,17,5.87179
