#{"t_start": 1763487213.5002973, "env_id": "CartPole-v1"}
r,l,t
39.0,39,0.03173
26.0,26,0.049717
19.0,19,0.062865
18.0,18,0.075373
18.0,18,0.087814
34.0,34,0.111511
25.0,25,0.12879
18.0,18,0.14156
37.0,37,0.168153
11.0,11,0.176211
50.0,50,0.239596
48.0,48,0.27619
33.0,33,0.301348
33.0,33,0.326489
41.0,41,0.358517
17.0,17,0.371894
42.0,42,0.40481
18.0,18,0.447462
24.0,24,0.466778
23.0,23,0.485278
12.0,12,0.494963
12.0,12,0.504687
17.0,17,0.518422
14.0,14,0.529831
19.0,19,0.5452
46.0,46,0.582222
16.0,16,0.59548
15.0,15,0.607932
16.0,16,0.621234
14.0,14,0.632905
13.0,13,0.643728
13.0,13,0.683674
12.0,12,0.693736
12.0,12,0.703588
27.0,27,0.72528
30.0,30,0.749464
33.0,33,0.776075
28.0,28,0.798559
45.0,45,0.838757
13.0,13,0.849273
32.0,32,0.875057
12.0,12,0.912941
63.0,63,0.970824
23.0,23,0.995576
26.0,26,1.021075
20.0,20,1.04279
30.0,30,1.075501
33.0,33,1.111918
23.0,23,1.131446
15.0,15,1.144226
29.0,29,1.196941
48.0,48,1.237857
14.0,14,1.249863
33.0,33,1.278039
15.0,15,1.290922
16.0,16,1.304598
66.0,66,1.360838
28.0,28,1.386455
18.0,18,1.403133
12.0,12,1.443156
34.0,34,1.471707
38.0,38,1.504201
31.0,31,1.533021
33.0,33,1.570491
15.0,15,1.583792
29.0,29,1.61013
58.0,58,1.665371
26.0,26,1.720634
16.0,16,1.734492
14.0,14,1.746535
20.0,20,1.763883
41.0,41,1.798716
16.0,16,1.812345
39.0,39,1.847614
49.0,49,1.894958
12.0,12,1.90565
21.0,21,1.925279
62.0,62,2.014669
12.0,12,2.024723
13.0,13,2.035548
55.0,55,2.081559
22.0,22,2.099923
20.0,20,2.116608
21.0,21,2.134157
15.0,15,2.146626
25.0,25,2.170075
133.0,133,2.311101
37.0,37,2.342004
30.0,30,2.367096
33.0,33,2.394768
11.0,11,2.40406
17.0,17,2.418344
29.0,29,2.476654
43.0,43,2.511577
20.0,20,2.527962
36.0,36,2.557746
15.0,15,2.570429
20.0,20,2.587214
91.0,91,2.663286
13.0,13,2.674254
13.0,13,2.685139
64.0,64,2.771804
18.0,18,2.787257
14.0,14,2.799277
66.0,66,2.855295
52.0,52,2.906349
41.0,41,2.942938
42.0,42,3.00988
34.0,34,3.038211
64.0,64,3.09215
13.0,13,3.103364
24.0,24,3.12402
55.0,55,3.171344
18.0,18,3.186834
24.0,24,3.243486
18.0,18,3.258735
83.0,83,3.328749
47.0,47,3.369957
36.0,36,3.401851
18.0,18,3.418002
21.0,21,3.436211
21.0,21,3.483418
11.0,11,3.492681
61.0,61,3.543355
77.0,77,3.607293
112.0,112,3.732268
59.0,59,3.780173
49.0,49,3.820016
56.0,56,3.866746
53.0,53,3.911055
9.0,9,3.918657
58.0,58,3.999206
46.0,46,4.040839
44.0,44,4.078562
159.0,159,4.243616
40.0,40,4.277332
39.0,39,4.310318
75.0,75,4.374121
29.0,29,4.398713
80.0,80,4.49617
76.0,76,4.557889
173.0,173,4.730197
84.0,84,4.800248
147.0,147,4.958836
58.0,58,5.007199
74.0,74,5.072417
54.0,54,5.116914
13.0,13,5.127698
73.0,73,5.220892
86.0,86,5.293521
116.0,116,5.392616
87.0,87,5.497552
92.0,92,5.573183
215.0,215,5.787764
135.0,135,5.902767
156.0,156,6.066489
34.0,34,6.096097
85.0,85,6.20429
97.0,97,6.286909
240.0,240,6.517341
310.0,310,6.81513
158.0,158,6.976845
46.0,46,7.014648
95.0,95,7.094119
