#{"t_start": 1763487072.3238776, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.024239
24.0,24,0.040819
21.0,21,0.054715
12.0,12,0.062799
14.0,14,0.072091
16.0,16,0.083144
16.0,16,0.094235
15.0,15,0.104761
23.0,23,0.125621
17.0,17,0.140363
13.0,13,0.149595
25.0,25,0.167228
14.0,14,0.180082
61.0,61,0.249366
35.0,35,0.274227
39.0,39,0.301862
38.0,38,0.328742
52.0,52,0.365375
10.0,10,0.372489
20.0,20,0.386832
13.0,13,0.396318
46.0,46,0.456372
17.0,17,0.468567
22.0,22,0.484264
19.0,19,0.498112
16.0,16,0.509616
31.0,31,0.532037
17.0,17,0.544465
20.0,20,0.562256
12.0,12,0.571912
13.0,13,0.581421
28.0,28,0.602123
36.0,36,0.654531
28.0,28,0.67442
11.0,11,0.682488
17.0,17,0.69503
16.0,16,0.706722
11.0,11,0.718726
19.0,19,0.73288
31.0,31,0.756163
17.0,17,0.769165
17.0,17,0.782158
48.0,48,0.819247
24.0,24,0.8381
12.0,12,0.873533
19.0,19,0.887725
13.0,13,0.897419
13.0,13,0.907127
24.0,24,0.924982
11.0,11,0.933408
43.0,43,0.966085
21.0,21,0.982104
27.0,27,1.002884
19.0,19,1.018367
33.0,33,1.044258
13.0,13,1.054498
26.0,26,1.106265
18.0,18,1.120675
36.0,36,1.149421
27.0,27,1.171348
85.0,85,1.24081
38.0,38,1.271932
15.0,15,1.284542
10.0,10,1.292984
40.0,40,1.355625
71.0,71,1.41449
36.0,36,1.444207
22.0,22,1.462355
26.0,26,1.483828
18.0,18,1.498861
19.0,19,1.514622
21.0,21,1.532014
24.0,24,1.580264
21.0,21,1.597222
16.0,16,1.61019
15.0,15,1.62234
24.0,24,1.641635
13.0,13,1.652125
65.0,65,1.704301
45.0,45,1.74137
38.0,38,1.772803
33.0,33,1.829846
15.0,15,1.84235
12.0,12,1.85229
13.0,13,1.863115
12.0,12,1.873132
11.0,11,1.882295
18.0,18,1.897244
15.0,15,1.909711
58.0,58,1.957717
103.0,103,2.0718
22.0,22,2.089997
23.0,23,2.109065
22.0,22,2.127329
12.0,12,2.13728
15.0,15,2.149762
17.0,17,2.163906
15.0,15,2.176417
13.0,13,2.187203
80.0,80,2.253362
27.0,27,2.304533
27.0,27,2.326796
19.0,19,2.34249
25.0,25,2.363062
36.0,36,2.39456
21.0,21,2.412155
11.0,11,2.42215
24.0,24,2.442235
39.0,39,2.475271
19.0,19,2.491168
19.0,19,2.507061
25.0,25,2.560512
30.0,30,2.585733
39.0,39,2.617879
41.0,41,2.651232
17.0,17,2.665146
51.0,51,2.707714
40.0,40,2.741125
45.0,45,2.8084
22.0,22,2.826796
29.0,29,2.851156
48.0,48,2.895002
50.0,50,2.936469
14.0,14,2.948363
20.0,20,2.964879
29.0,29,2.988838
22.0,22,3.038991
48.0,48,3.077445
20.0,20,3.093587
40.0,40,3.125676
22.0,22,3.143749
38.0,38,3.175132
32.0,32,3.204337
67.0,67,3.289254
17.0,17,3.303366
45.0,45,3.340444
48.0,48,3.37997
164.0,164,3.542671
33.0,33,3.571659
67.0,67,3.625955
48.0,48,3.664821
17.0,17,3.678655
60.0,60,3.757562
53.0,53,3.801263
70.0,70,3.859012
43.0,43,3.894515
13.0,13,3.905299
66.0,66,3.960134
100.0,100,4.071917
53.0,53,4.11587
51.0,51,4.158143
24.0,24,4.177987
57.0,57,4.254055
79.0,79,4.31922
42.0,42,4.353877
23.0,23,4.372897
37.0,37,4.406577
37.0,37,4.436306
76.0,76,4.525975
43.0,43,4.560583
18.0,18,4.575155
123.0,123,4.674208
26.0,26,4.723534
92.0,92,4.797683
113.0,113,4.902014
46.0,46,4.970084
36.0,36,4.999362
55.0,55,5.044212
84.0,84,5.113771
39.0,39,5.145978
82.0,82,5.245872
24.0,24,5.265692
67.0,67,5.320876
78.0,78,5.385384
37.0,37,5.449383
63.0,63,5.502288
33.0,33,5.531403
27.0,27,5.554487
45.0,45,5.592324
65.0,65,5.646402
37.0,37,5.710067
22.0,22,5.728561
76.0,76,5.791922
33.0,33,5.820209
37.0,37,5.851105
54.0,54,5.896154
25.0,25,5.951981
85.0,85,6.022114
103.0,103,6.10699
40.0,40,6.139976
165.0,165,6.309546
85.0,85,6.379613
94.0,94,6.488714
97.0,97,6.575868
128.0,128,6.712121
102.0,102,6.794197
101.0,101,6.875342
255.0,255,7.122958
152.0,152,7.282054
52.0,52,7.325842
70.0,70,7.385935
345.0,345,7.721467
193.0,193,7.916837
195.0,195,8.076186
88.0,88,8.178188
220.0,220,8.395037
33.0,33,8.427552
171.0,171,8.566253
137.0,137,8.71346
132.0,132,8.822206
236.0,236,9.046562
64.0,64,9.126475
109.0,109,9.214255
159.0,159,9.370312
317.0,317,9.661504
177.0,177,9.838549
111.0,111,9.930729
119.0,119,10.028891
258.0,258,10.280473
137.0,137,10.422406
366.0,366,10.760317
179.0,179,10.932648
500.0,500,11.408231
171.0,171,11.586176
231.0,231,11.798759
38.0,38,11.829364
176.0,176,11.973763
191.0,191,12.153782
382.0,382,12.534261
231.0,231,12.746152
140.0,140,12.858718
180.0,180,13.040117
213.0,213,13.240162
242.0,242,13.463578
79.0,79,13.531051
299.0,299,13.810582
266.0,266,14.062201
202.0,202,14.258755
214.0,214,14.462917
250.0,250,14.699442
186.0,186,14.883025
139.0,139,15.003498
242.0,242,15.236865
223.0,223,15.449308
447.0,447,15.892669
238.0,238,16.111771
235.0,235,16.30065
134.0,134,16.437028
134.0,134,16.574421
231.0,231,16.767579
282.0,282,17.056366
247.0,247,17.262517
157.0,157,17.420153
132.0,132,17.555397
169.0,169,17.691737
129.0,129,17.823795
24.0,24,17.843238
21.0,21,17.860268
156.0,156,18.014613
113.0,113,18.105515
228.0,228,18.321178
262.0,262,18.568553
220.0,220,18.779449
194.0,194,18.977026
180.0,180,19.122307
169.0,169,19.291959
149.0,149,19.420588
176.0,176,19.59568
83.0,83,19.666327
143.0,143,19.815658
216.0,216,20.025362
302.0,302,20.3073
185.0,185,20.492579
173.0,173,20.636777
195.0,195,20.827024
225.0,225,21.038045
241.0,241,21.266835
295.0,295,21.539752
141.0,141,21.689338
205.0,205,21.8803
207.0,207,22.047556
150.0,150,22.19866
155.0,155,22.356761
113.0,113,22.45495
210.0,210,22.677803
211.0,211,22.910992
168.0,168,23.059458
166.0,166,23.233282
128.0,128,23.35227
131.0,131,23.489567
171.0,171,23.656908
164.0,164,23.79095
226.0,226,24.009581
142.0,142,24.162597
230.0,230,24.373638
153.0,153,24.495003
167.0,167,24.657594
217.0,217,24.860322
250.0,250,25.088757
25.0,25,25.109263
206.0,206,25.308514
163.0,163,25.444271
181.0,181,25.618699
31.0,31,25.647214
145.0,145,25.793437
179.0,179,25.935887
187.0,187,26.115382
157.0,157,26.270098
172.0,172,26.40685
168.0,168,26.566716
171.0,171,26.732604
157.0,157,26.858664
174.0,174,27.027465
249.0,249,27.259811
204.0,204,27.4566
169.0,169,27.597399
172.0,172,27.78575
149.0,149,27.936886
160.0,160,28.067138
182.0,182,28.248668
173.0,173,28.421776
171.0,171,28.560447
330.0,330,28.897377
173.0,173,29.046999
141.0,141,29.190562
183.0,183,29.377817
213.0,213,29.547356
178.0,178,29.72798
177.0,177,29.903198
179.0,179,30.050359
177.0,177,30.228638
147.0,147,30.382438
135.0,135,30.498029
198.0,198,30.697172
181.0,181,30.869107
213.0,213,31.073017
136.0,136,31.186778
180.0,180,31.365244
164.0,164,31.498737
143.0,143,31.643202
161.0,161,31.813463
178.0,178,31.96529
132.0,132,32.100443
170.0,170,32.241175
161.0,161,32.442843
140.0,140,32.588939
171.0,171,32.74881
148.0,148,32.901222
171.0,171,33.073594
144.0,144,33.19123
218.0,218,33.399496
187.0,187,33.585161
169.0,169,33.725397
151.0,151,33.881777
142.0,142,34.031692
144.0,144,34.147367
176.0,176,34.324297
162.0,162,34.464124
157.0,157,34.62511
152.0,152,34.781044
137.0,137,34.893608
150.0,150,35.051758
118.0,118,35.146099
140.0,140,35.290345
148.0,148,35.412732
183.0,183,35.590304
166.0,166,35.754676
170.0,170,35.893907
138.0,138,36.039471
163.0,163,36.201397
158.0,158,36.331753
149.0,149,36.481759
152.0,152,36.606124
148.0,148,36.756815
150.0,150,36.880373
171.0,171,37.050285
138.0,138,37.192252
153.0,153,37.316795
138.0,138,37.47452
141.0,141,37.593734
179.0,179,37.766827
179.0,179,37.946492
147.0,147,38.067151
153.0,153,38.222233
171.0,171,38.389524
169.0,169,38.523427
174.0,174,38.690865
164.0,164,38.855168
140.0,140,38.972274
147.0,147,39.115015
148.0,148,39.233342
176.0,176,39.402402
154.0,154,39.552802
153.0,153,39.675022
149.0,149,39.834399
138.0,138,39.946477
119.0,119,40.072017
165.0,165,40.20542
143.0,143,40.351354
153.0,153,40.503032
145.0,145,40.616482
182.0,182,40.797478
131.0,131,40.909489
157.0,157,41.063731
156.0,156,41.214664
161.0,161,41.340442
151.0,151,41.487307
143.0,143,41.602276
165.0,165,41.7756
174.0,174,41.949107
181.0,181,42.091087
156.0,156,42.240967
156.0,156,42.396049
165.0,165,42.531585
176.0,176,42.708964
153.0,153,42.861875
145.0,145,42.982007
208.0,208,43.174897
148.0,148,43.298311
158.0,158,43.46342
155.0,155,43.613187
158.0,158,43.738306
132.0,132,43.871068
160.0,160,44.007734
141.0,141,44.1546
167.0,167,44.326396
150.0,150,44.447328
170.0,170,44.647872
140.0,140,44.772658
145.0,145,44.914829
136.0,136,45.058911
166.0,166,45.192375
145.0,145,45.336875
169.0,169,45.472534
163.0,163,45.636996
160.0,160,45.793993
159.0,159,45.925156
147.0,147,46.073581
155.0,155,46.236426
158.0,158,46.363449
149.0,149,46.511389
152.0,152,46.633326
146.0,146,46.779599
147.0,147,46.9006
159.0,159,47.056722
156.0,156,47.214128
156.0,156,47.339434
155.0,155,47.493692
156.0,156,47.65088
159.0,159,47.782997
156.0,156,47.939051
137.0,137,48.046669
162.0,162,48.20154
158.0,158,48.355712
172.0,172,48.495707
163.0,163,48.655066
172.0,172,48.794819
130.0,130,48.934681
147.0,147,49.078987
162.0,162,49.206028
