timestep,reward
1.600000000000000000e+01,1.600000000000000000e+01
3.200000000000000000e+01,1.600000000000000000e+01
4.700000000000000000e+01,1.500000000000000000e+01
1.010000000000000000e+02,5.400000000000000000e+01
1.270000000000000000e+02,2.600000000000000000e+01
2.190000000000000000e+02,9.200000000000000000e+01
2.330000000000000000e+02,1.400000000000000000e+01
2.870000000000000000e+02,5.400000000000000000e+01
3.130000000000000000e+02,2.600000000000000000e+01
4.110000000000000000e+02,9.800000000000000000e+01
4.320000000000000000e+02,2.100000000000000000e+01
4.450000000000000000e+02,1.300000000000000000e+01
4.670000000000000000e+02,2.200000000000000000e+01
4.770000000000000000e+02,1.000000000000000000e+01
4.890000000000000000e+02,1.200000000000000000e+01
5.050000000000000000e+02,1.600000000000000000e+01
5.200000000000000000e+02,1.500000000000000000e+01
5.330000000000000000e+02,1.300000000000000000e+01
5.570000000000000000e+02,2.400000000000000000e+01
5.690000000000000000e+02,1.200000000000000000e+01
5.860000000000000000e+02,1.700000000000000000e+01
6.000000000000000000e+02,1.400000000000000000e+01
6.560000000000000000e+02,5.600000000000000000e+01
6.700000000000000000e+02,1.400000000000000000e+01
6.840000000000000000e+02,1.400000000000000000e+01
7.050000000000000000e+02,2.100000000000000000e+01
7.360000000000000000e+02,3.100000000000000000e+01
7.800000000000000000e+02,4.400000000000000000e+01
8.250000000000000000e+02,4.500000000000000000e+01
8.580000000000000000e+02,3.300000000000000000e+01
8.700000000000000000e+02,1.200000000000000000e+01
9.030000000000000000e+02,3.300000000000000000e+01
9.310000000000000000e+02,2.800000000000000000e+01
9.570000000000000000e+02,2.600000000000000000e+01
9.680000000000000000e+02,1.100000000000000000e+01
9.910000000000000000e+02,2.300000000000000000e+01
1.026000000000000000e+03,3.500000000000000000e+01
1.080000000000000000e+03,5.400000000000000000e+01
1.091000000000000000e+03,1.100000000000000000e+01
1.173000000000000000e+03,8.200000000000000000e+01
1.220000000000000000e+03,4.700000000000000000e+01
1.280000000000000000e+03,6.000000000000000000e+01
1.293000000000000000e+03,1.300000000000000000e+01
1.303000000000000000e+03,1.000000000000000000e+01
1.324000000000000000e+03,2.100000000000000000e+01
1.345000000000000000e+03,2.100000000000000000e+01
1.358000000000000000e+03,1.300000000000000000e+01
1.389000000000000000e+03,3.100000000000000000e+01
1.405000000000000000e+03,1.600000000000000000e+01
1.427000000000000000e+03,2.200000000000000000e+01
1.450000000000000000e+03,2.300000000000000000e+01
1.463000000000000000e+03,1.300000000000000000e+01
1.487000000000000000e+03,2.400000000000000000e+01
1.502000000000000000e+03,1.500000000000000000e+01
1.518000000000000000e+03,1.600000000000000000e+01
1.558000000000000000e+03,4.000000000000000000e+01
1.571000000000000000e+03,1.300000000000000000e+01
1.592000000000000000e+03,2.100000000000000000e+01
1.601000000000000000e+03,9.000000000000000000e+00
1.631000000000000000e+03,3.000000000000000000e+01
1.670000000000000000e+03,3.900000000000000000e+01
1.767000000000000000e+03,9.700000000000000000e+01
1.778000000000000000e+03,1.100000000000000000e+01
1.797000000000000000e+03,1.900000000000000000e+01
1.818000000000000000e+03,2.100000000000000000e+01
1.843000000000000000e+03,2.500000000000000000e+01
1.869000000000000000e+03,2.600000000000000000e+01
1.883000000000000000e+03,1.400000000000000000e+01
1.895000000000000000e+03,1.200000000000000000e+01
1.913000000000000000e+03,1.800000000000000000e+01
1.924000000000000000e+03,1.100000000000000000e+01
1.950000000000000000e+03,2.600000000000000000e+01
1.969000000000000000e+03,1.900000000000000000e+01
1.982000000000000000e+03,1.300000000000000000e+01
2.000000000000000000e+03,1.800000000000000000e+01
2.019000000000000000e+03,1.900000000000000000e+01
2.033000000000000000e+03,1.400000000000000000e+01
2.056000000000000000e+03,2.300000000000000000e+01
2.077000000000000000e+03,2.100000000000000000e+01
2.109000000000000000e+03,3.200000000000000000e+01
2.126000000000000000e+03,1.700000000000000000e+01
2.148000000000000000e+03,2.200000000000000000e+01
2.160000000000000000e+03,1.200000000000000000e+01
2.181000000000000000e+03,2.100000000000000000e+01
2.224000000000000000e+03,4.300000000000000000e+01
2.241000000000000000e+03,1.700000000000000000e+01
2.260000000000000000e+03,1.900000000000000000e+01
2.280000000000000000e+03,2.000000000000000000e+01
2.290000000000000000e+03,1.000000000000000000e+01
2.304000000000000000e+03,1.400000000000000000e+01
2.314000000000000000e+03,1.000000000000000000e+01
2.342000000000000000e+03,2.800000000000000000e+01
2.379000000000000000e+03,3.700000000000000000e+01
2.434000000000000000e+03,5.500000000000000000e+01
2.477000000000000000e+03,4.300000000000000000e+01
2.521000000000000000e+03,4.400000000000000000e+01
2.543000000000000000e+03,2.200000000000000000e+01
2.579000000000000000e+03,3.600000000000000000e+01
2.597000000000000000e+03,1.800000000000000000e+01
2.633000000000000000e+03,3.600000000000000000e+01
2.659000000000000000e+03,2.600000000000000000e+01
2.695000000000000000e+03,3.600000000000000000e+01
2.707000000000000000e+03,1.200000000000000000e+01
2.725000000000000000e+03,1.800000000000000000e+01
2.740000000000000000e+03,1.500000000000000000e+01
2.854000000000000000e+03,1.140000000000000000e+02
2.864000000000000000e+03,1.000000000000000000e+01
2.876000000000000000e+03,1.200000000000000000e+01
2.959000000000000000e+03,8.300000000000000000e+01
2.973000000000000000e+03,1.400000000000000000e+01
3.010000000000000000e+03,3.700000000000000000e+01
3.033000000000000000e+03,2.300000000000000000e+01
3.086000000000000000e+03,5.300000000000000000e+01
3.100000000000000000e+03,1.400000000000000000e+01
3.154000000000000000e+03,5.400000000000000000e+01
3.184000000000000000e+03,3.000000000000000000e+01
3.261000000000000000e+03,7.700000000000000000e+01
3.279000000000000000e+03,1.800000000000000000e+01
3.297000000000000000e+03,1.800000000000000000e+01
3.315000000000000000e+03,1.800000000000000000e+01
3.364000000000000000e+03,4.900000000000000000e+01
3.382000000000000000e+03,1.800000000000000000e+01
3.408000000000000000e+03,2.600000000000000000e+01
3.424000000000000000e+03,1.600000000000000000e+01
3.521000000000000000e+03,9.700000000000000000e+01
3.561000000000000000e+03,4.000000000000000000e+01
3.646000000000000000e+03,8.500000000000000000e+01
3.671000000000000000e+03,2.500000000000000000e+01
3.709000000000000000e+03,3.800000000000000000e+01
3.726000000000000000e+03,1.700000000000000000e+01
3.755000000000000000e+03,2.900000000000000000e+01
3.779000000000000000e+03,2.400000000000000000e+01
3.850000000000000000e+03,7.100000000000000000e+01
3.866000000000000000e+03,1.600000000000000000e+01
3.984000000000000000e+03,1.180000000000000000e+02
4.057000000000000000e+03,7.300000000000000000e+01
4.073000000000000000e+03,1.600000000000000000e+01
4.129000000000000000e+03,5.600000000000000000e+01
4.140000000000000000e+03,1.100000000000000000e+01
4.176000000000000000e+03,3.600000000000000000e+01
4.197000000000000000e+03,2.100000000000000000e+01
4.235000000000000000e+03,3.800000000000000000e+01
4.339000000000000000e+03,1.040000000000000000e+02
4.359000000000000000e+03,2.000000000000000000e+01
4.389000000000000000e+03,3.000000000000000000e+01
4.446000000000000000e+03,5.700000000000000000e+01
4.479000000000000000e+03,3.300000000000000000e+01
4.492000000000000000e+03,1.300000000000000000e+01
4.534000000000000000e+03,4.200000000000000000e+01
4.549000000000000000e+03,1.500000000000000000e+01
4.600000000000000000e+03,5.100000000000000000e+01
4.630000000000000000e+03,3.000000000000000000e+01
4.672000000000000000e+03,4.200000000000000000e+01
4.686000000000000000e+03,1.400000000000000000e+01
4.714000000000000000e+03,2.800000000000000000e+01
4.772000000000000000e+03,5.800000000000000000e+01
4.789000000000000000e+03,1.700000000000000000e+01
4.816000000000000000e+03,2.700000000000000000e+01
4.874000000000000000e+03,5.800000000000000000e+01
4.933000000000000000e+03,5.900000000000000000e+01
4.995000000000000000e+03,6.200000000000000000e+01
5.006000000000000000e+03,1.100000000000000000e+01
5.031000000000000000e+03,2.500000000000000000e+01
5.044000000000000000e+03,1.300000000000000000e+01
5.064000000000000000e+03,2.000000000000000000e+01
5.103000000000000000e+03,3.900000000000000000e+01
5.135000000000000000e+03,3.200000000000000000e+01
5.180000000000000000e+03,4.500000000000000000e+01
5.216000000000000000e+03,3.600000000000000000e+01
5.258000000000000000e+03,4.200000000000000000e+01
5.270000000000000000e+03,1.200000000000000000e+01
5.327000000000000000e+03,5.700000000000000000e+01
5.339000000000000000e+03,1.200000000000000000e+01
5.388000000000000000e+03,4.900000000000000000e+01
5.433000000000000000e+03,4.500000000000000000e+01
5.463000000000000000e+03,3.000000000000000000e+01
5.547000000000000000e+03,8.400000000000000000e+01
5.606000000000000000e+03,5.900000000000000000e+01
5.624000000000000000e+03,1.800000000000000000e+01
5.655000000000000000e+03,3.100000000000000000e+01
5.697000000000000000e+03,4.200000000000000000e+01
5.742000000000000000e+03,4.500000000000000000e+01
5.798000000000000000e+03,5.600000000000000000e+01
5.896000000000000000e+03,9.800000000000000000e+01
5.913000000000000000e+03,1.700000000000000000e+01
5.990000000000000000e+03,7.700000000000000000e+01
6.057000000000000000e+03,6.700000000000000000e+01
6.086000000000000000e+03,2.900000000000000000e+01
6.102000000000000000e+03,1.600000000000000000e+01
6.146000000000000000e+03,4.400000000000000000e+01
6.206000000000000000e+03,6.000000000000000000e+01
6.239000000000000000e+03,3.300000000000000000e+01
6.337000000000000000e+03,9.800000000000000000e+01
6.374000000000000000e+03,3.700000000000000000e+01
6.414000000000000000e+03,4.000000000000000000e+01
6.429000000000000000e+03,1.500000000000000000e+01
6.487000000000000000e+03,5.800000000000000000e+01
6.577000000000000000e+03,9.000000000000000000e+01
6.669000000000000000e+03,9.200000000000000000e+01
6.735000000000000000e+03,6.600000000000000000e+01
6.764000000000000000e+03,2.900000000000000000e+01
6.791000000000000000e+03,2.700000000000000000e+01
6.866000000000000000e+03,7.500000000000000000e+01
6.945000000000000000e+03,7.900000000000000000e+01
6.982000000000000000e+03,3.700000000000000000e+01
6.992000000000000000e+03,1.000000000000000000e+01
7.069000000000000000e+03,7.700000000000000000e+01
7.124000000000000000e+03,5.500000000000000000e+01
7.166000000000000000e+03,4.200000000000000000e+01
7.185000000000000000e+03,1.900000000000000000e+01
7.226000000000000000e+03,4.100000000000000000e+01
7.256000000000000000e+03,3.000000000000000000e+01
7.267000000000000000e+03,1.100000000000000000e+01
7.312000000000000000e+03,4.500000000000000000e+01
7.336000000000000000e+03,2.400000000000000000e+01
7.397000000000000000e+03,6.100000000000000000e+01
7.488000000000000000e+03,9.100000000000000000e+01
7.568000000000000000e+03,8.000000000000000000e+01
7.596000000000000000e+03,2.800000000000000000e+01
7.636000000000000000e+03,4.000000000000000000e+01
7.716000000000000000e+03,8.000000000000000000e+01
7.834000000000000000e+03,1.180000000000000000e+02
7.862000000000000000e+03,2.800000000000000000e+01
7.939000000000000000e+03,7.700000000000000000e+01
7.953000000000000000e+03,1.400000000000000000e+01
8.036000000000000000e+03,8.300000000000000000e+01
8.080000000000000000e+03,4.400000000000000000e+01
8.124000000000000000e+03,4.400000000000000000e+01
8.197000000000000000e+03,7.300000000000000000e+01
8.229000000000000000e+03,3.200000000000000000e+01
8.285000000000000000e+03,5.600000000000000000e+01
8.313000000000000000e+03,2.800000000000000000e+01
8.345000000000000000e+03,3.200000000000000000e+01
8.432000000000000000e+03,8.700000000000000000e+01
8.499000000000000000e+03,6.700000000000000000e+01
8.567000000000000000e+03,6.800000000000000000e+01
8.591000000000000000e+03,2.400000000000000000e+01
8.612000000000000000e+03,2.100000000000000000e+01
8.679000000000000000e+03,6.700000000000000000e+01
8.694000000000000000e+03,1.500000000000000000e+01
8.744000000000000000e+03,5.000000000000000000e+01
8.831000000000000000e+03,8.700000000000000000e+01
8.851000000000000000e+03,2.000000000000000000e+01
8.869000000000000000e+03,1.800000000000000000e+01
8.897000000000000000e+03,2.800000000000000000e+01
8.910000000000000000e+03,1.300000000000000000e+01
8.924000000000000000e+03,1.400000000000000000e+01
8.940000000000000000e+03,1.600000000000000000e+01
9.010000000000000000e+03,7.000000000000000000e+01
9.079000000000000000e+03,6.900000000000000000e+01
9.114000000000000000e+03,3.500000000000000000e+01
9.133000000000000000e+03,1.900000000000000000e+01
9.172000000000000000e+03,3.900000000000000000e+01
9.205000000000000000e+03,3.300000000000000000e+01
9.291000000000000000e+03,8.600000000000000000e+01
9.392000000000000000e+03,1.010000000000000000e+02
9.469000000000000000e+03,7.700000000000000000e+01
9.589000000000000000e+03,1.200000000000000000e+02
9.643000000000000000e+03,5.400000000000000000e+01
9.671000000000000000e+03,2.800000000000000000e+01
9.728000000000000000e+03,5.700000000000000000e+01
9.798000000000000000e+03,7.000000000000000000e+01
9.920000000000000000e+03,1.220000000000000000e+02
9.960000000000000000e+03,4.000000000000000000e+01
1.002700000000000000e+04,6.700000000000000000e+01
1.009800000000000000e+04,7.100000000000000000e+01
1.012700000000000000e+04,2.900000000000000000e+01
1.014900000000000000e+04,2.200000000000000000e+01
1.018700000000000000e+04,3.800000000000000000e+01
1.024200000000000000e+04,5.500000000000000000e+01
1.027400000000000000e+04,3.200000000000000000e+01
1.028600000000000000e+04,1.200000000000000000e+01
1.032100000000000000e+04,3.500000000000000000e+01
1.036400000000000000e+04,4.300000000000000000e+01
1.037900000000000000e+04,1.500000000000000000e+01
1.042500000000000000e+04,4.600000000000000000e+01
1.047900000000000000e+04,5.400000000000000000e+01
1.050000000000000000e+04,2.100000000000000000e+01
1.056700000000000000e+04,6.700000000000000000e+01
1.060300000000000000e+04,3.600000000000000000e+01
1.072100000000000000e+04,1.180000000000000000e+02
1.081800000000000000e+04,9.700000000000000000e+01
1.091300000000000000e+04,9.500000000000000000e+01
1.094400000000000000e+04,3.100000000000000000e+01
1.102000000000000000e+04,7.600000000000000000e+01
1.109100000000000000e+04,7.100000000000000000e+01
1.117600000000000000e+04,8.500000000000000000e+01
1.122900000000000000e+04,5.300000000000000000e+01
1.128600000000000000e+04,5.700000000000000000e+01
1.132600000000000000e+04,4.000000000000000000e+01
1.138100000000000000e+04,5.500000000000000000e+01
1.144500000000000000e+04,6.400000000000000000e+01
1.149400000000000000e+04,4.900000000000000000e+01
1.153200000000000000e+04,3.800000000000000000e+01
1.158800000000000000e+04,5.600000000000000000e+01
1.165200000000000000e+04,6.400000000000000000e+01
1.167200000000000000e+04,2.000000000000000000e+01
1.169500000000000000e+04,2.300000000000000000e+01
1.182600000000000000e+04,1.310000000000000000e+02
1.187800000000000000e+04,5.200000000000000000e+01
1.191000000000000000e+04,3.200000000000000000e+01
1.198100000000000000e+04,7.100000000000000000e+01
1.201000000000000000e+04,2.900000000000000000e+01
1.204400000000000000e+04,3.400000000000000000e+01
1.206700000000000000e+04,2.300000000000000000e+01
1.213100000000000000e+04,6.400000000000000000e+01
1.219800000000000000e+04,6.700000000000000000e+01
1.224600000000000000e+04,4.800000000000000000e+01
1.228500000000000000e+04,3.900000000000000000e+01
1.232100000000000000e+04,3.600000000000000000e+01
1.237400000000000000e+04,5.300000000000000000e+01
1.241500000000000000e+04,4.100000000000000000e+01
1.246200000000000000e+04,4.700000000000000000e+01
1.247200000000000000e+04,1.000000000000000000e+01
1.253700000000000000e+04,6.500000000000000000e+01
1.257300000000000000e+04,3.600000000000000000e+01
1.264500000000000000e+04,7.200000000000000000e+01
1.271800000000000000e+04,7.300000000000000000e+01
1.274500000000000000e+04,2.700000000000000000e+01
1.278400000000000000e+04,3.900000000000000000e+01
1.284800000000000000e+04,6.400000000000000000e+01
1.286900000000000000e+04,2.100000000000000000e+01
1.298200000000000000e+04,1.130000000000000000e+02
1.300900000000000000e+04,2.700000000000000000e+01
1.303600000000000000e+04,2.700000000000000000e+01
1.306600000000000000e+04,3.000000000000000000e+01
1.311000000000000000e+04,4.400000000000000000e+01
1.314500000000000000e+04,3.500000000000000000e+01
1.316700000000000000e+04,2.200000000000000000e+01
1.319700000000000000e+04,3.000000000000000000e+01
1.321600000000000000e+04,1.900000000000000000e+01
1.326100000000000000e+04,4.500000000000000000e+01
1.331300000000000000e+04,5.200000000000000000e+01
1.335300000000000000e+04,4.000000000000000000e+01
1.341000000000000000e+04,5.700000000000000000e+01
1.347700000000000000e+04,6.700000000000000000e+01
1.351900000000000000e+04,4.200000000000000000e+01
1.357900000000000000e+04,6.000000000000000000e+01
1.363100000000000000e+04,5.200000000000000000e+01
1.367300000000000000e+04,4.200000000000000000e+01
1.369400000000000000e+04,2.100000000000000000e+01
1.370800000000000000e+04,1.400000000000000000e+01
1.374000000000000000e+04,3.200000000000000000e+01
1.377800000000000000e+04,3.800000000000000000e+01
1.381600000000000000e+04,3.800000000000000000e+01
1.382800000000000000e+04,1.200000000000000000e+01
1.385800000000000000e+04,3.000000000000000000e+01
1.391400000000000000e+04,5.600000000000000000e+01
1.403700000000000000e+04,1.230000000000000000e+02
1.409600000000000000e+04,5.900000000000000000e+01
1.416400000000000000e+04,6.800000000000000000e+01
1.420400000000000000e+04,4.000000000000000000e+01
1.429600000000000000e+04,9.200000000000000000e+01
1.435300000000000000e+04,5.700000000000000000e+01
1.444900000000000000e+04,9.600000000000000000e+01
1.448900000000000000e+04,4.000000000000000000e+01
1.453300000000000000e+04,4.400000000000000000e+01
1.463000000000000000e+04,9.700000000000000000e+01
1.470500000000000000e+04,7.500000000000000000e+01
1.476500000000000000e+04,6.000000000000000000e+01
1.480600000000000000e+04,4.100000000000000000e+01
1.483500000000000000e+04,2.900000000000000000e+01
1.489100000000000000e+04,5.600000000000000000e+01
1.492100000000000000e+04,3.000000000000000000e+01
1.495800000000000000e+04,3.700000000000000000e+01
1.497300000000000000e+04,1.500000000000000000e+01
1.500700000000000000e+04,3.400000000000000000e+01
1.503700000000000000e+04,3.000000000000000000e+01
1.509000000000000000e+04,5.300000000000000000e+01
1.513200000000000000e+04,4.200000000000000000e+01
1.517700000000000000e+04,4.500000000000000000e+01
1.522000000000000000e+04,4.300000000000000000e+01
1.523400000000000000e+04,1.400000000000000000e+01
1.528300000000000000e+04,4.900000000000000000e+01
1.536800000000000000e+04,8.500000000000000000e+01
1.540400000000000000e+04,3.600000000000000000e+01
1.543500000000000000e+04,3.100000000000000000e+01
1.554700000000000000e+04,1.120000000000000000e+02
1.564000000000000000e+04,9.300000000000000000e+01
1.571100000000000000e+04,7.100000000000000000e+01
1.577500000000000000e+04,6.400000000000000000e+01
1.582600000000000000e+04,5.100000000000000000e+01
1.589900000000000000e+04,7.300000000000000000e+01
1.599600000000000000e+04,9.700000000000000000e+01
1.604000000000000000e+04,4.400000000000000000e+01
1.606900000000000000e+04,2.900000000000000000e+01
1.610900000000000000e+04,4.000000000000000000e+01
1.613700000000000000e+04,2.800000000000000000e+01
1.618600000000000000e+04,4.900000000000000000e+01
1.621100000000000000e+04,2.500000000000000000e+01
1.628700000000000000e+04,7.600000000000000000e+01
1.630100000000000000e+04,1.400000000000000000e+01
1.634000000000000000e+04,3.900000000000000000e+01
1.637500000000000000e+04,3.500000000000000000e+01
1.643900000000000000e+04,6.400000000000000000e+01
1.649600000000000000e+04,5.700000000000000000e+01
1.654000000000000000e+04,4.400000000000000000e+01
1.660100000000000000e+04,6.100000000000000000e+01
1.664400000000000000e+04,4.300000000000000000e+01
1.669100000000000000e+04,4.700000000000000000e+01
1.673900000000000000e+04,4.800000000000000000e+01
1.675500000000000000e+04,1.600000000000000000e+01
1.684000000000000000e+04,8.500000000000000000e+01
1.689600000000000000e+04,5.600000000000000000e+01
1.696000000000000000e+04,6.400000000000000000e+01
1.698900000000000000e+04,2.900000000000000000e+01
1.704200000000000000e+04,5.300000000000000000e+01
1.712900000000000000e+04,8.700000000000000000e+01
1.717000000000000000e+04,4.100000000000000000e+01
1.722200000000000000e+04,5.200000000000000000e+01
1.724800000000000000e+04,2.600000000000000000e+01
1.730700000000000000e+04,5.900000000000000000e+01
1.737100000000000000e+04,6.400000000000000000e+01
1.739900000000000000e+04,2.800000000000000000e+01
1.746200000000000000e+04,6.300000000000000000e+01
1.748500000000000000e+04,2.300000000000000000e+01
1.751800000000000000e+04,3.300000000000000000e+01
1.756200000000000000e+04,4.400000000000000000e+01
1.766900000000000000e+04,1.070000000000000000e+02
1.774900000000000000e+04,8.000000000000000000e+01
1.777100000000000000e+04,2.200000000000000000e+01
1.779800000000000000e+04,2.700000000000000000e+01
1.786900000000000000e+04,7.100000000000000000e+01
1.797300000000000000e+04,1.040000000000000000e+02
1.801300000000000000e+04,4.000000000000000000e+01
1.803900000000000000e+04,2.600000000000000000e+01
1.809000000000000000e+04,5.100000000000000000e+01
1.816800000000000000e+04,7.800000000000000000e+01
1.818700000000000000e+04,1.900000000000000000e+01
1.825300000000000000e+04,6.600000000000000000e+01
1.829100000000000000e+04,3.800000000000000000e+01
1.833600000000000000e+04,4.500000000000000000e+01
1.841000000000000000e+04,7.400000000000000000e+01
1.842100000000000000e+04,1.100000000000000000e+01
1.847700000000000000e+04,5.600000000000000000e+01
1.849900000000000000e+04,2.200000000000000000e+01
1.854200000000000000e+04,4.300000000000000000e+01
1.857300000000000000e+04,3.100000000000000000e+01
1.861500000000000000e+04,4.200000000000000000e+01
1.864000000000000000e+04,2.500000000000000000e+01
1.866000000000000000e+04,2.000000000000000000e+01
1.875200000000000000e+04,9.200000000000000000e+01
1.876400000000000000e+04,1.200000000000000000e+01
1.881700000000000000e+04,5.300000000000000000e+01
1.883800000000000000e+04,2.100000000000000000e+01
1.889600000000000000e+04,5.800000000000000000e+01
1.895000000000000000e+04,5.400000000000000000e+01
1.899500000000000000e+04,4.500000000000000000e+01
1.904000000000000000e+04,4.500000000000000000e+01
1.911400000000000000e+04,7.400000000000000000e+01
1.916400000000000000e+04,5.000000000000000000e+01
1.920500000000000000e+04,4.100000000000000000e+01
1.924600000000000000e+04,4.100000000000000000e+01
1.929000000000000000e+04,4.400000000000000000e+01
1.936700000000000000e+04,7.700000000000000000e+01
1.941200000000000000e+04,4.500000000000000000e+01
1.947300000000000000e+04,6.100000000000000000e+01
1.950900000000000000e+04,3.600000000000000000e+01
1.957400000000000000e+04,6.500000000000000000e+01
1.962000000000000000e+04,4.600000000000000000e+01
1.966900000000000000e+04,4.900000000000000000e+01
1.971400000000000000e+04,4.500000000000000000e+01
1.974100000000000000e+04,2.700000000000000000e+01
1.978900000000000000e+04,4.800000000000000000e+01
1.987000000000000000e+04,8.100000000000000000e+01
1.990400000000000000e+04,3.400000000000000000e+01
1.995000000000000000e+04,4.600000000000000000e+01
2.000300000000000000e+04,5.300000000000000000e+01
2.006500000000000000e+04,6.200000000000000000e+01
2.009500000000000000e+04,3.000000000000000000e+01
2.013100000000000000e+04,3.600000000000000000e+01
2.017100000000000000e+04,4.000000000000000000e+01
2.023500000000000000e+04,6.400000000000000000e+01
2.025200000000000000e+04,1.700000000000000000e+01
2.031200000000000000e+04,6.000000000000000000e+01
2.036400000000000000e+04,5.200000000000000000e+01
2.041300000000000000e+04,4.900000000000000000e+01
2.046700000000000000e+04,5.400000000000000000e+01
2.050100000000000000e+04,3.400000000000000000e+01
2.053200000000000000e+04,3.100000000000000000e+01
2.056100000000000000e+04,2.900000000000000000e+01
2.059600000000000000e+04,3.500000000000000000e+01
2.062600000000000000e+04,3.000000000000000000e+01
2.068600000000000000e+04,6.000000000000000000e+01
2.071700000000000000e+04,3.100000000000000000e+01
2.075200000000000000e+04,3.500000000000000000e+01
2.079900000000000000e+04,4.700000000000000000e+01
2.084200000000000000e+04,4.300000000000000000e+01
2.099000000000000000e+04,1.480000000000000000e+02
2.107800000000000000e+04,8.800000000000000000e+01
2.111300000000000000e+04,3.500000000000000000e+01
2.114900000000000000e+04,3.600000000000000000e+01
2.117400000000000000e+04,2.500000000000000000e+01
2.126600000000000000e+04,9.200000000000000000e+01
2.129100000000000000e+04,2.500000000000000000e+01
2.134000000000000000e+04,4.900000000000000000e+01
2.139900000000000000e+04,5.900000000000000000e+01
2.144200000000000000e+04,4.300000000000000000e+01
2.148700000000000000e+04,4.500000000000000000e+01
2.152700000000000000e+04,4.000000000000000000e+01
2.157400000000000000e+04,4.700000000000000000e+01
2.165300000000000000e+04,7.900000000000000000e+01
2.167800000000000000e+04,2.500000000000000000e+01
2.176200000000000000e+04,8.400000000000000000e+01
2.181300000000000000e+04,5.100000000000000000e+01
2.184600000000000000e+04,3.300000000000000000e+01
2.192200000000000000e+04,7.600000000000000000e+01
2.198900000000000000e+04,6.700000000000000000e+01
2.203500000000000000e+04,4.600000000000000000e+01
2.208500000000000000e+04,5.000000000000000000e+01
2.213900000000000000e+04,5.400000000000000000e+01
2.217800000000000000e+04,3.900000000000000000e+01
2.224800000000000000e+04,7.000000000000000000e+01
2.233300000000000000e+04,8.500000000000000000e+01
2.238500000000000000e+04,5.200000000000000000e+01
2.245000000000000000e+04,6.500000000000000000e+01
2.248500000000000000e+04,3.500000000000000000e+01
2.251400000000000000e+04,2.900000000000000000e+01
2.254700000000000000e+04,3.300000000000000000e+01
2.257900000000000000e+04,3.200000000000000000e+01
2.260400000000000000e+04,2.500000000000000000e+01
2.263200000000000000e+04,2.800000000000000000e+01
2.268500000000000000e+04,5.300000000000000000e+01
2.275500000000000000e+04,7.000000000000000000e+01
2.278900000000000000e+04,3.400000000000000000e+01
2.282400000000000000e+04,3.500000000000000000e+01
2.284000000000000000e+04,1.600000000000000000e+01
2.286300000000000000e+04,2.300000000000000000e+01
2.293200000000000000e+04,6.900000000000000000e+01
2.296100000000000000e+04,2.900000000000000000e+01
2.299800000000000000e+04,3.700000000000000000e+01
2.302800000000000000e+04,3.000000000000000000e+01
2.305500000000000000e+04,2.700000000000000000e+01
2.311900000000000000e+04,6.400000000000000000e+01
2.316400000000000000e+04,4.500000000000000000e+01
2.323100000000000000e+04,6.700000000000000000e+01
2.324400000000000000e+04,1.300000000000000000e+01
2.328700000000000000e+04,4.300000000000000000e+01
2.329800000000000000e+04,1.100000000000000000e+01
2.338900000000000000e+04,9.100000000000000000e+01
2.344900000000000000e+04,6.000000000000000000e+01
2.350900000000000000e+04,6.000000000000000000e+01
2.353700000000000000e+04,2.800000000000000000e+01
2.358500000000000000e+04,4.800000000000000000e+01
2.363000000000000000e+04,4.500000000000000000e+01
2.369000000000000000e+04,6.000000000000000000e+01
2.374000000000000000e+04,5.000000000000000000e+01
2.377000000000000000e+04,3.000000000000000000e+01
