#{"t_start": 1763486788.551658, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.016348
16.0,16,0.028222
15.0,15,0.039202
54.0,54,0.079027
26.0,26,0.09845
92.0,92,0.175409
14.0,14,0.186548
54.0,54,0.261066
26.0,26,0.281012
98.0,98,0.356736
21.0,21,0.373292
13.0,13,0.383567
22.0,22,0.40119
10.0,10,0.409131
12.0,12,0.418614
16.0,16,0.431231
15.0,15,0.476188
13.0,13,0.486817
24.0,24,0.50622
12.0,12,0.516082
17.0,17,0.530197
14.0,14,0.541574
56.0,56,0.586722
14.0,14,0.598109
14.0,14,0.60952
21.0,21,0.62656
31.0,31,0.651619
44.0,44,0.718729
45.0,45,0.754958
33.0,33,0.781716
12.0,12,0.791468
33.0,33,0.81808
28.0,28,0.843547
26.0,26,0.865488
11.0,11,0.874508
23.0,23,0.893348
35.0,35,0.951247
54.0,54,1.006731
11.0,11,1.019498
82.0,82,1.085771
47.0,47,1.124209
60.0,60,1.173847
13.0,13,1.218415
10.0,10,1.226422
21.0,21,1.243082
21.0,21,1.259742
13.0,13,1.270173
31.0,31,1.295374
16.0,16,1.308414
22.0,22,1.326307
23.0,23,1.345025
13.0,13,1.355652
24.0,24,1.375726
15.0,15,1.387952
16.0,16,1.400966
40.0,40,1.464618
13.0,13,1.475298
21.0,21,1.492944
9.0,9,1.500346
30.0,30,1.524692
39.0,39,1.556721
97.0,97,1.635709
11.0,11,1.644962
19.0,19,1.694222
21.0,21,1.710777
25.0,25,1.730477
26.0,26,1.750864
14.0,14,1.764348
12.0,12,1.776752
18.0,18,1.791576
11.0,11,1.800529
26.0,26,1.821565
19.0,19,1.837105
13.0,13,1.847622
18.0,18,1.862239
19.0,19,1.877505
14.0,14,1.888891
23.0,23,1.93582
21.0,21,1.95277
32.0,32,1.978561
17.0,17,1.992244
22.0,22,2.009957
12.0,12,2.019676
21.0,21,2.036947
43.0,43,2.071842
17.0,17,2.085517
19.0,19,2.100808
20.0,20,2.116896
10.0,10,2.124983
14.0,14,2.136251
10.0,10,2.173992
28.0,28,2.196803
37.0,37,2.226467
55.0,55,2.270488
43.0,43,2.304947
44.0,44,2.340349
22.0,22,2.358081
36.0,36,2.417674
18.0,18,2.432207
36.0,36,2.46102
26.0,26,2.481904
36.0,36,2.51113
12.0,12,2.520915
18.0,18,2.535474
15.0,15,2.547585
114.0,114,2.674751
10.0,10,2.682706
12.0,12,2.692224
83.0,83,2.757312
14.0,14,2.768368
37.0,37,2.799674
23.0,23,2.818213
53.0,53,2.896778
14.0,14,2.911247
54.0,54,2.966484
30.0,30,2.99721
77.0,77,3.075315
18.0,18,3.09029
18.0,18,3.104014
18.0,18,3.117755
49.0,49,3.187197
18.0,18,3.203429
26.0,26,3.223215
16.0,16,3.235421
97.0,97,3.311075
40.0,40,3.342436
85.0,85,3.438359
25.0,25,3.458658
38.0,38,3.489327
17.0,17,3.50338
29.0,29,3.526794
24.0,24,3.546163
71.0,71,3.632774
16.0,16,3.645758
118.0,118,3.739074
73.0,73,3.796487
16.0,16,3.809138
56.0,56,3.880958
11.0,11,3.889686
36.0,36,3.917969
21.0,21,3.934458
38.0,38,3.964255
104.0,104,4.045475
20.0,20,4.08933
30.0,30,4.116152
57.0,57,4.164083
33.0,33,4.192788
13.0,13,4.203087
42.0,42,4.236106
15.0,15,4.248008
51.0,51,4.289228
30.0,30,4.340638
42.0,42,4.373622
14.0,14,4.384667
28.0,28,4.406691
58.0,58,4.453437
17.0,17,4.467221
27.0,27,4.489058
58.0,58,4.565252
59.0,59,4.612753
62.0,62,4.662726
11.0,11,4.671682
25.0,25,4.691905
13.0,13,4.702185
20.0,20,4.717941
39.0,39,4.748554
32.0,32,4.805142
45.0,45,4.841889
36.0,36,4.871775
42.0,42,4.906939
12.0,12,4.917096
57.0,57,4.964905
12.0,12,4.975059
49.0,49,5.044599
45.0,45,5.081162
30.0,30,5.105322
84.0,84,5.173568
59.0,59,5.222314
18.0,18,5.23727
31.0,31,5.290763
42.0,42,5.324616
45.0,45,5.360841
56.0,56,5.406179
98.0,98,5.516606
17.0,17,5.530361
77.0,77,5.592353
67.0,67,5.646229
29.0,29,5.671902
16.0,16,5.685396
44.0,44,5.749295
60.0,60,5.797651
33.0,33,5.824507
98.0,98,5.913467
37.0,37,5.962463
40.0,40,6.026994
15.0,15,6.039416
58.0,58,6.09305
90.0,90,6.16989
92.0,92,6.281755
66.0,66,6.337164
29.0,29,6.36152
27.0,27,6.384142
75.0,75,6.447501
79.0,79,6.545813
37.0,37,6.576438
10.0,10,6.58461
77.0,77,6.64717
55.0,55,6.69582
42.0,42,6.729987
19.0,19,6.781641
41.0,41,6.820115
30.0,30,6.843758
11.0,11,6.852484
45.0,45,6.887683
24.0,24,6.906568
61.0,61,6.954302
91.0,91,7.05396
80.0,80,7.118678
28.0,28,7.141309
40.0,40,7.173634
80.0,80,7.26656
118.0,118,7.361535
28.0,28,7.384142
77.0,77,7.474555
14.0,14,7.485935
83.0,83,7.552945
44.0,44,7.588468
44.0,44,7.623923
73.0,73,7.711153
32.0,32,7.737077
56.0,56,7.782193
28.0,28,7.804857
32.0,32,7.831084
87.0,87,7.907391
67.0,67,7.992388
68.0,68,8.048561
24.0,24,8.068398
21.0,21,8.085796
67.0,67,8.141457
15.0,15,8.154283
50.0,50,8.224241
87.0,87,8.295959
20.0,20,8.312707
18.0,18,8.32781
28.0,28,8.351291
13.0,13,8.362237
14.0,14,8.374014
16.0,16,8.387478
70.0,70,8.472889
69.0,69,8.529584
35.0,35,8.558604
19.0,19,8.574366
39.0,39,8.606577
33.0,33,8.633892
86.0,86,8.73515
101.0,101,8.819432
77.0,77,8.888017
120.0,120,9.01082
54.0,54,9.053625
28.0,28,9.075916
57.0,57,9.121552
70.0,70,9.209643
122.0,122,9.310355
40.0,40,9.343493
67.0,67,9.432042
71.0,71,9.491359
29.0,29,9.515679
22.0,22,9.534639
38.0,38,9.567025
55.0,55,9.647176
32.0,32,9.683912
12.0,12,9.69767
35.0,35,9.735434
43.0,43,9.772259
15.0,15,9.785135
46.0,46,9.825393
54.0,54,9.87055
21.0,21,9.917317
67.0,67,9.972008
36.0,36,10.003086
118.0,118,10.100566
97.0,97,10.213234
95.0,95,10.290673
31.0,31,10.317019
76.0,76,10.412216
71.0,71,10.470025
85.0,85,10.539447
53.0,53,10.582699
57.0,57,10.659607
40.0,40,10.693314
55.0,55,10.739358
64.0,64,10.793104
49.0,49,10.833596
38.0,38,10.90217
56.0,56,10.948547
64.0,64,11.001572
20.0,20,11.018183
23.0,23,11.037211
131.0,131,11.177913
52.0,52,11.219784
32.0,32,11.245603
71.0,71,11.30298
29.0,29,11.326321
34.0,34,11.387805
23.0,23,11.407414
64.0,64,11.46051
67.0,67,11.5157
