#{"t_start": 1763486788.551658, "env_id": "CartPole-v1"}
r,l,t
48.0,48,11.555644
39.0,39,11.587888
36.0,36,11.650346
53.0,53,11.694179
41.0,41,11.728103
47.0,47,11.766939
10.0,10,11.775287
65.0,65,11.829161
36.0,36,11.89104
72.0,72,11.949605
73.0,73,12.009981
27.0,27,12.032375
39.0,39,12.064667
64.0,64,12.146391
21.0,21,12.16386
113.0,113,12.257747
27.0,27,12.280175
27.0,27,12.302615
30.0,30,12.362985
44.0,44,12.399951
35.0,35,12.429309
22.0,22,12.4484
30.0,30,12.473566
19.0,19,12.489538
45.0,45,12.528112
52.0,52,12.602683
40.0,40,12.635956
57.0,57,12.687814
67.0,67,12.743968
42.0,42,12.779238
60.0,60,12.858961
52.0,52,12.901972
42.0,42,12.936768
21.0,21,12.954165
14.0,14,12.96581
32.0,32,12.993079
38.0,38,13.024972
38.0,38,13.057365
12.0,12,13.096836
30.0,30,13.121743
56.0,56,13.17112
123.0,123,13.273212
59.0,59,13.351038
68.0,68,13.404508
40.0,40,13.436782
92.0,92,13.511084
57.0,57,13.585451
96.0,96,13.662992
40.0,40,13.695376
44.0,44,13.732345
97.0,97,13.859453
75.0,75,13.938392
60.0,60,13.987051
41.0,41,14.019861
29.0,29,14.043124
56.0,56,14.116854
30.0,30,14.140975
37.0,37,14.170696
15.0,15,14.182828
34.0,34,14.210193
30.0,30,14.234508
53.0,53,14.277194
42.0,42,14.342144
45.0,45,14.379889
43.0,43,14.415775
14.0,14,14.42751
49.0,49,14.469161
85.0,85,14.574304
36.0,36,14.604458
31.0,31,14.630382
112.0,112,14.724914
93.0,93,14.836168
71.0,71,14.894652
64.0,64,14.947351
51.0,51,14.989483
73.0,73,15.079113
97.0,97,15.159727
44.0,44,15.199982
29.0,29,15.224032
40.0,40,15.257474
28.0,28,15.31268
49.0,49,15.35383
25.0,25,15.374802
76.0,76,15.438338
14.0,14,15.450634
39.0,39,15.483621
35.0,35,15.513751
64.0,64,15.599278
57.0,57,15.646274
44.0,44,15.682708
61.0,61,15.733071
43.0,43,15.798507
47.0,47,15.837465
48.0,48,15.877077
16.0,16,15.890412
85.0,85,15.960839
56.0,56,16.007196
64.0,64,16.09299
29.0,29,16.117905
53.0,53,16.162683
87.0,87,16.234796
41.0,41,16.302763
52.0,52,16.34649
26.0,26,16.368303
59.0,59,16.417736
64.0,64,16.472639
28.0,28,16.496778
63.0,63,16.58083
23.0,23,16.5999
33.0,33,16.627069
44.0,44,16.664114
107.0,107,16.788568
80.0,80,16.854715
22.0,22,16.872981
27.0,27,16.895377
71.0,71,16.954038
104.0,104,17.06906
40.0,40,17.102135
26.0,26,17.12377
51.0,51,17.169903
78.0,78,17.236513
19.0,19,17.286519
66.0,66,17.341787
38.0,38,17.373621
45.0,45,17.411421
74.0,74,17.473686
11.0,11,17.482946
56.0,56,17.560881
22.0,22,17.579195
43.0,43,17.614731
31.0,31,17.640321
42.0,42,17.674843
25.0,25,17.695132
20.0,20,17.711374
92.0,92,17.81421
12.0,12,17.824008
53.0,53,17.86683
21.0,21,17.883897
58.0,58,17.930725
54.0,54,18.003907
45.0,45,18.04045
45.0,45,18.076666
74.0,74,18.136871
50.0,50,18.178594
41.0,41,18.240848
41.0,41,18.273961
44.0,44,18.309443
77.0,77,18.372469
45.0,45,18.409206
61.0,61,18.49283
36.0,36,18.522884
65.0,65,18.577729
46.0,46,18.624265
49.0,49,18.667998
45.0,45,18.732071
27.0,27,18.753619
48.0,48,18.791715
81.0,81,18.857488
34.0,34,18.886146
46.0,46,18.923683
53.0,53,18.995568
62.0,62,19.046201
30.0,30,19.071075
36.0,36,19.100506
40.0,40,19.133697
64.0,64,19.223654
17.0,17,19.237815
60.0,60,19.287508
52.0,52,19.333888
49.0,49,19.376267
54.0,54,19.421803
34.0,34,19.483703
31.0,31,19.509316
29.0,29,19.533302
35.0,35,19.562238
30.0,30,19.587131
60.0,60,19.636606
31.0,31,19.663511
35.0,35,19.730294
47.0,47,19.7692
43.0,43,19.804608
148.0,148,19.926641
88.0,88,20.0305
35.0,35,20.060818
36.0,36,20.090881
25.0,25,20.111811
92.0,92,20.232284
25.0,25,20.259574
49.0,49,20.301895
59.0,59,20.350768
43.0,43,20.386448
45.0,45,20.423819
40.0,40,20.486492
47.0,47,20.525283
79.0,79,20.590593
25.0,25,20.611287
84.0,84,20.7098
51.0,51,20.752016
33.0,33,20.779221
76.0,76,20.841877
67.0,67,20.897215
46.0,46,20.964366
50.0,50,21.005821
54.0,54,21.050481
39.0,39,21.082995
70.0,70,21.140714
85.0,85,21.240095
52.0,52,21.28412
65.0,65,21.337894
35.0,35,21.366844
29.0,29,21.391311
33.0,33,21.450404
32.0,32,21.476928
25.0,25,21.497664
28.0,28,21.520927
53.0,53,21.565541
70.0,70,21.625743
34.0,34,21.683856
35.0,35,21.712859
16.0,16,21.726147
23.0,23,21.745283
69.0,69,21.803143
29.0,29,21.827226
37.0,37,21.857864
30.0,30,21.882722
27.0,27,21.941833
64.0,64,21.995194
45.0,45,22.032554
67.0,67,22.088239
13.0,13,22.099008
43.0,43,22.134581
11.0,11,22.174496
91.0,91,22.250051
60.0,60,22.29958
60.0,60,22.349106
28.0,28,22.372231
48.0,48,22.4412
45.0,45,22.478597
60.0,60,22.528161
50.0,50,22.569566
30.0,30,22.594899
30.0,30,22.620612
49.0,49,22.70139
29.0,29,22.724895
111.0,111,22.814343
60.0,60,22.862658
114.0,114,22.980239
36.0,36,23.00857
39.0,39,23.039127
44.0,44,23.074076
30.0,30,23.097699
94.0,94,23.202519
21.0,21,23.219545
27.0,27,23.241546
21.0,21,23.258819
79.0,79,23.322462
27.0,27,23.372919
128.0,128,23.481873
71.0,71,23.539808
11.0,11,23.548827
44.0,44,23.614682
28.0,28,23.637909
27.0,27,23.660032
93.0,93,23.735074
33.0,33,23.761736
19.0,19,23.777124
22.0,22,23.794877
69.0,69,23.877581
92.0,92,23.951559
44.0,44,23.986991
30.0,30,24.01116
25.0,25,24.031331
124.0,124,24.159607
45.0,45,24.200828
18.0,18,24.216425
12.0,12,24.226516
39.0,39,24.260368
35.0,35,24.289139
38.0,38,24.348613
39.0,39,24.380366
31.0,31,24.405553
51.0,51,24.447046
71.0,71,24.505164
27.0,27,24.527705
41.0,41,24.592479
49.0,49,24.633365
27.0,27,24.655956
58.0,58,24.704448
39.0,39,24.736087
58.0,58,24.811479
28.0,28,24.834129
48.0,48,24.872858
76.0,76,24.934043
134.0,134,25.070971
45.0,45,25.107258
37.0,37,25.137236
101.0,101,25.218544
61.0,61,25.297328
30.0,30,25.321615
30.0,30,25.345908
30.0,30,25.37013
97.0,97,25.448355
23.0,23,25.466933
13.0,13,25.477471
52.0,52,25.550354
83.0,83,25.62087
37.0,37,25.651921
29.0,29,25.676023
22.0,22,25.694258
31.0,31,25.719884
110.0,110,25.8455
56.0,56,25.892555
95.0,95,25.969128
121.0,121,26.094658
54.0,54,26.139065
49.0,49,26.181031
74.0,74,26.276951
59.0,59,26.325852
37.0,37,26.356514
43.0,43,26.392157
45.0,45,26.429442
54.0,54,26.50541
21.0,21,26.522855
32.0,32,26.549406
47.0,47,26.588296
59.0,59,26.638158
54.0,54,26.68998
46.0,46,26.757535
37.0,37,26.788102
20.0,20,26.804649
96.0,96,26.883976
50.0,50,26.925364
24.0,24,26.94526
41.0,41,27.008462
29.0,29,27.032544
36.0,36,27.062424
32.0,32,27.088926
26.0,26,27.110446
35.0,35,27.139508
24.0,24,27.16213
34.0,34,27.191601
57.0,57,27.269387
62.0,62,27.320087
47.0,47,27.358607
42.0,42,27.392914
47.0,47,27.431284
27.0,27,27.48307
13.0,13,27.493869
33.0,33,27.521138
34.0,34,27.549247
31.0,31,27.574884
57.0,57,27.62604
56.0,56,27.678125
59.0,59,27.762786
29.0,29,27.786444
50.0,50,27.834827
39.0,39,27.866693
45.0,45,27.90315
55.0,55,27.976094
41.0,41,28.013087
84.0,84,28.082025
11.0,11,28.09105
45.0,45,28.127763
58.0,58,28.17902
14.0,14,28.21883
29.0,29,28.241842
65.0,65,28.298032
48.0,48,28.3377
76.0,76,28.40729
47.0,47,28.47433
38.0,38,28.51047
83.0,83,28.594494
29.0,29,28.617893
47.0,47,28.655688
97.0,97,28.762276
13.0,13,28.772876
25.0,25,28.793166
103.0,103,28.878326
27.0,27,28.900727
13.0,13,28.911542
51.0,51,28.987537
24.0,24,29.007735
14.0,14,29.019565
16.0,16,29.033005
51.0,51,29.075571
37.0,37,29.107199
31.0,31,29.133487
76.0,76,29.233825
23.0,23,29.253168
39.0,39,29.286821
38.0,38,29.318646
42.0,42,29.353868
57.0,57,29.401586
23.0,23,29.420819
110.0,110,29.552759
31.0,31,29.578771
64.0,64,29.633286
38.0,38,29.666099
51.0,51,29.735558
79.0,79,29.799305
47.0,47,29.837144
45.0,45,29.873477
23.0,23,29.892037
12.0,12,29.901736
45.0,45,29.966151
71.0,71,30.023433
24.0,24,30.042789
31.0,31,30.067748
37.0,37,30.097872
95.0,95,30.20273
53.0,53,30.24595
123.0,123,30.352742
62.0,62,30.433439
39.0,39,30.465728
25.0,25,30.486398
34.0,34,30.514687
28.0,28,30.537824
35.0,35,30.56671
79.0,79,30.63201
109.0,109,30.768167
52.0,52,30.812626
34.0,34,30.845895
49.0,49,30.886931
15.0,15,30.899449
55.0,55,30.972812
26.0,26,30.994136
61.0,61,31.044154
39.0,39,31.075955
44.0,44,31.113281
64.0,64,31.197456
67.0,67,31.253197
72.0,72,31.313124
119.0,119,31.454859
25.0,25,31.478684
34.0,34,31.506599
35.0,35,31.535599
29.0,29,31.559663
87.0,87,31.631536
61.0,61,31.710338
70.0,70,31.773612
50.0,50,31.814071
64.0,64,31.865638
86.0,86,31.963505
50.0,50,32.00393
28.0,28,32.026596
49.0,49,32.066237
45.0,45,32.102479
36.0,36,32.159952
25.0,25,32.180214
40.0,40,32.212402
41.0,41,32.24654
73.0,73,32.311207
46.0,46,32.348413
42.0,42,32.409517
38.0,38,32.439678
22.0,22,32.457386
35.0,35,32.487395
42.0,42,32.523555
49.0,49,32.563827
81.0,81,32.66185
29.0,29,32.686118
29.0,29,32.71034
81.0,81,32.778544
25.0,25,32.799531
48.0,48,32.83965
36.0,36,32.897612
40.0,40,32.928933
59.0,59,32.976227
38.0,38,33.006779
47.0,47,33.04463
48.0,48,33.083224
54.0,54,33.162656
24.0,24,33.182101
41.0,41,33.215186
28.0,28,33.23786
37.0,37,33.267789
81.0,81,33.362952
35.0,35,33.392299
55.0,55,33.438299
30.0,30,33.463397
32.0,32,33.490076
41.0,41,33.524801
67.0,67,33.612612
46.0,46,33.651743
43.0,43,33.691722
43.0,43,33.727206
44.0,44,33.763988
61.0,61,33.812967
70.0,70,33.897809
49.0,49,33.937277
26.0,26,33.958213
36.0,36,33.987137
26.0,26,34.008023
39.0,39,34.039346
97.0,97,34.145819
71.0,71,34.218323
26.0,26,34.239758
21.0,21,34.25674
32.0,32,34.282605
50.0,50,34.350904
45.0,45,34.386226
36.0,36,34.414463
57.0,57,34.460407
63.0,63,34.51125
11.0,11,34.520205
82.0,82,34.620573
42.0,42,34.655276
38.0,38,34.687634
47.0,47,34.726952
22.0,22,34.745379
55.0,55,34.822767
28.0,28,34.846028
41.0,41,34.880001
63.0,63,34.932122
32.0,32,34.95881
30.0,30,34.983795
44.0,44,35.020253
38.0,38,35.082423
38.0,38,35.113814
33.0,33,35.141117
44.0,44,35.182176
39.0,39,35.213738
41.0,41,35.246748
28.0,28,35.269297
58.0,58,35.345387
71.0,71,35.402761
41.0,41,35.4358
23.0,23,35.454446
33.0,33,35.48179
32.0,32,35.508346
27.0,27,35.558651
43.0,43,35.593325
52.0,52,35.63526
55.0,55,35.680869
63.0,63,35.733099
51.0,51,35.802787
24.0,24,35.822206
91.0,91,35.898283
37.0,37,35.93263
63.0,63,35.987417
43.0,43,36.052432
74.0,74,36.113686
119.0,119,36.212075
33.0,33,36.267983
31.0,31,36.293936
51.0,51,36.336148
14.0,14,36.34784
89.0,89,36.421326
12.0,12,36.431387
135.0,135,36.572773
20.0,20,36.589376
45.0,45,36.626628
46.0,46,36.664757
52.0,52,36.715238
29.0,29,36.770615
51.0,51,36.811761
20.0,20,36.829497
46.0,46,36.867066
26.0,26,36.888583
33.0,33,36.919406
31.0,31,36.948192
45.0,45,37.012908
57.0,57,37.058324
46.0,46,37.095834
68.0,68,37.153599
29.0,29,37.179241
45.0,45,37.247783
65.0,65,37.300343
24.0,24,37.319738
40.0,40,37.352094
95.0,95,37.428756
85.0,85,37.525791
45.0,45,37.562157
52.0,52,37.614024
23.0,23,37.638373
70.0,70,37.699607
58.0,58,37.775501
40.0,40,37.808087
47.0,47,37.846508
25.0,25,37.867449
31.0,31,37.893537
38.0,38,37.925389
43.0,43,37.991741
27.0,27,38.014549
34.0,34,38.043065
44.0,44,38.079893
58.0,58,38.128794
43.0,43,38.165812
59.0,59,38.249318
110.0,110,38.342435
48.0,48,38.382564
42.0,42,38.417923
64.0,64,38.500866
30.0,30,38.525922
18.0,18,38.540938
27.0,27,38.563366
31.0,31,38.589083
71.0,71,38.648042
33.0,33,38.67682
41.0,41,38.740825
49.0,49,38.781711
64.0,64,38.834982
39.0,39,38.867496
43.0,43,38.903507
30.0,30,38.928668
46.0,46,38.99981
24.0,24,39.019918
32.0,32,39.04664
40.0,40,39.080127
45.0,45,39.117718
43.0,43,39.157101
41.0,41,39.223424
48.0,48,39.263078
23.0,23,39.28218
41.0,41,39.316508
46.0,46,39.354604
26.0,26,39.376186
106.0,106,39.49684
73.0,73,39.557119
15.0,15,39.569562
45.0,45,39.606708
20.0,20,39.62328
38.0,38,39.655303
30.0,30,39.709692
56.0,56,39.756153
26.0,26,39.777703
48.0,48,39.817327
66.0,66,39.87186
68.0,68,39.960297
40.0,40,39.995883
47.0,47,40.035347
27.0,27,40.05803
73.0,73,40.120882
35.0,35,40.150744
71.0,71,40.239007
50.0,50,40.28028
21.0,21,40.297886
30.0,30,40.322699
75.0,75,40.384511
82.0,82,40.490406
79.0,79,40.56083
51.0,51,40.603488
61.0,61,40.65513
31.0,31,40.718104
29.0,29,40.74572
54.0,54,40.78911
79.0,79,40.853147
44.0,44,40.889733
77.0,77,40.982697
56.0,56,41.029397
54.0,54,41.074241
28.0,28,41.097434
40.0,40,41.130857
25.0,25,41.151529
26.0,26,41.203194
57.0,57,41.250834
21.0,21,41.267979
50.0,50,41.309964
40.0,40,41.343768
40.0,40,41.377285
36.0,36,41.437406
69.0,69,41.493393
38.0,38,41.524122
24.0,24,41.543519
29.0,29,41.566939
52.0,52,41.60889
38.0,38,41.671732
30.0,30,41.701639
90.0,90,41.774441
73.0,73,41.833217
27.0,27,41.855009
44.0,44,41.919063
53.0,53,41.960685
62.0,62,42.009176
61.0,61,42.057447
78.0,78,42.148887
63.0,63,42.199902
67.0,67,42.25421
67.0,67,42.30816
74.0,74,42.396313
64.0,64,42.447758
82.0,82,42.51363
23.0,23,42.53215
57.0,57,42.577974
37.0,37,42.638216
37.0,37,42.675401
81.0,81,42.741415
33.0,33,42.767622
24.0,24,42.786727
31.0,31,42.811364
40.0,40,42.87094
43.0,43,42.905021
43.0,43,42.939207
30.0,30,42.963
23.0,23,42.981843
31.0,31,43.007709
28.0,28,43.030864
57.0,57,43.109
36.0,36,43.139834
50.0,50,43.181839
26.0,26,43.203307
11.0,11,43.214501
35.0,35,43.245949
72.0,72,43.304569
55.0,55,43.380859
48.0,48,43.419938
42.0,42,43.454974
28.0,28,43.47836
49.0,49,43.519207
54.0,54,43.594019
35.0,35,43.622982
57.0,57,43.670061
31.0,31,43.695719
45.0,45,43.732974
59.0,59,43.781777
68.0,68,43.86745
12.0,12,43.877324
30.0,30,43.902404
59.0,59,43.951994
65.0,65,44.006315
92.0,92,44.1241
20.0,20,44.141092
54.0,54,44.185915
66.0,66,44.241648
54.0,54,44.289268
13.0,13,44.332973
25.0,25,44.359172
24.0,24,44.382422
36.0,36,44.41081
54.0,54,44.453221
26.0,26,44.4737
30.0,30,44.497234
76.0,76,44.585647
34.0,34,44.61278
33.0,33,44.639422
45.0,45,44.680331
13.0,13,44.691284
28.0,28,44.714762
14.0,14,44.726536
93.0,93,44.840298
93.0,93,44.921164
25.0,25,44.942157
36.0,36,44.972324
52.0,52,45.015816
30.0,30,45.06909
42.0,42,45.102938
29.0,29,45.126292
38.0,38,45.157384
37.0,37,45.191143
41.0,41,45.22647
47.0,47,45.266836
47.0,47,45.3404
32.0,32,45.366576
106.0,106,45.453686
36.0,36,45.483702
65.0,65,45.5716
48.0,48,45.611361
41.0,41,45.645243
72.0,72,45.710199
17.0,17,45.728706
46.0,46,45.772916
69.0,69,45.856698
34.0,34,45.884066
50.0,50,45.924326
24.0,24,45.9437
63.0,63,45.9944
52.0,52,46.066476
110.0,110,46.157377
46.0,46,46.195244
38.0,38,46.226506
47.0,47,46.299912
40.0,40,46.333051
66.0,66,46.386025
43.0,43,46.42055
52.0,52,46.46234
37.0,37,46.49277
27.0,27,46.547827
51.0,51,46.590763
60.0,60,46.641044
26.0,26,46.664504
37.0,37,46.697047
34.0,34,46.723726
68.0,68,46.804557
41.0,41,46.836741
47.0,47,46.874034
74.0,74,46.933653
56.0,56,46.978638
60.0,60,47.058462
16.0,16,47.072012
75.0,75,47.1346
52.0,52,47.183925
73.0,73,47.275523
32.0,32,47.300678
26.0,26,47.323062
74.0,74,47.383531
55.0,55,47.428171
13.0,13,47.438802
45.0,45,47.505315
47.0,47,47.543184
33.0,33,47.570146
60.0,60,47.618366
34.0,34,47.646472
35.0,35,47.677212
34.0,34,47.710185
42.0,42,47.776697
53.0,53,47.819172
119.0,119,47.914456
48.0,48,47.953217
96.0,96,48.06561
52.0,52,48.108674
52.0,52,48.152164
54.0,54,48.198899
34.0,34,48.254308
65.0,65,48.30647
39.0,39,48.339013
70.0,70,48.402852
44.0,44,48.438341
64.0,64,48.516409
44.0,44,48.551747
41.0,41,48.584786
41.0,41,48.617821
61.0,61,48.667331
43.0,43,48.734053
13.0,13,48.744853
63.0,63,48.796866
59.0,59,48.845551
41.0,41,48.879376
25.0,25,48.900095
69.0,69,48.988546
148.0,148,49.110699
74.0,74,49.200044
31.0,31,49.225293
77.0,77,49.289001
61.0,61,49.339515
87.0,87,49.44009
52.0,52,49.481937
45.0,45,49.518126
38.0,38,49.549073
41.0,41,49.582904
36.0,36,49.612635
12.0,12,49.622611
44.0,44,49.691568
52.0,52,49.73408
42.0,42,49.768319
53.0,53,49.81151
53.0,53,49.85481
51.0,51,49.927125
57.0,57,49.974643
44.0,44,50.010899
41.0,41,50.044764
70.0,70,50.102559
24.0,24,50.122404
27.0,27,50.182039
39.0,39,50.214827
43.0,43,50.248987
15.0,15,50.260943
25.0,25,50.281014
13.0,13,50.291655
51.0,51,50.338046
29.0,29,50.364686
37.0,37,50.423498
24.0,24,50.443065
12.0,12,50.452889
45.0,45,50.489336
41.0,41,50.522597
51.0,51,50.564523
71.0,71,50.650977
41.0,41,50.688699
60.0,60,50.737516
45.0,45,50.774397
52.0,52,50.817738
39.0,39,50.850278
58.0,58,50.933503
28.0,28,50.956356
29.0,29,50.980549
40.0,40,51.014021
51.0,51,51.056616
39.0,39,51.089311
50.0,50,51.162847
25.0,25,51.187167
41.0,41,51.219285
11.0,11,51.227961
75.0,75,51.286645
40.0,40,51.318065
31.0,31,51.342645
54.0,54,51.412758
40.0,40,51.444122
45.0,45,51.484276
44.0,44,51.521238
39.0,39,51.551983
25.0,25,51.572193
53.0,53,51.642019
51.0,51,51.686977
37.0,37,51.719626
35.0,35,51.747184
34.0,34,51.774137
37.0,37,51.804245
57.0,57,51.87892
36.0,36,51.908031
64.0,64,51.959715
66.0,66,52.01477
78.0,78,52.113938
59.0,59,52.165794
53.0,53,52.208529
37.0,37,52.238384
34.0,34,52.26607
41.0,41,52.300064
49.0,49,52.370816
25.0,25,52.390907
52.0,52,52.432724
41.0,41,52.46586
24.0,24,52.485728
37.0,37,52.516362
44.0,44,52.583943
29.0,29,52.608017
32.0,32,52.634581
37.0,37,52.665328
44.0,44,52.702521
65.0,65,52.753415
48.0,48,52.819518
71.0,71,52.879154
25.0,25,52.899858
64.0,64,52.958839
69.0,69,53.014234
34.0,34,53.068667
36.0,36,53.096838
57.0,57,53.141489
62.0,62,53.199177
58.0,58,53.251189
37.0,37,53.308731
68.0,68,53.362813
52.0,52,53.404032
46.0,46,53.440504
81.0,81,53.504589
26.0,26,53.56088
60.0,60,53.610226
47.0,47,53.648982
56.0,56,53.69811
43.0,43,53.733972
45.0,45,53.798607
33.0,33,53.825308
35.0,35,53.853491
38.0,38,53.884067
22.0,22,53.901763
11.0,11,53.910714
50.0,50,53.950979
49.0,49,53.990344
37.0,37,54.049079
50.0,50,54.089418
56.0,56,54.134457
27.0,27,54.156124
44.0,44,54.191479
38.0,38,54.221954
54.0,54,54.294461
48.0,48,54.333159
70.0,70,54.389782
49.0,49,54.43012
26.0,26,54.451601
