#{"t_start": 1763486929.0351677, "env_id": "CartPole-v1"}
r,l,t
225.0,225,50.151294
500.0,500,50.608407
297.0,297,50.900853
293.0,293,51.170778
500.0,500,51.640314
288.0,288,51.901505
500.0,500,52.363181
500.0,500,52.851965
500.0,500,53.30489
500.0,500,53.75812
500.0,500,54.178006
442.0,442,54.60347
500.0,500,55.072181
500.0,500,55.543084
500.0,500,56.016048
500.0,500,56.482828
500.0,500,56.946746
500.0,500,57.413911
500.0,500,57.866949
500.0,500,58.316969
500.0,500,58.777718
500.0,500,59.246923
500.0,500,59.712281
500.0,500,60.162193
500.0,500,60.630883
500.0,500,61.092101
500.0,500,61.57367
500.0,500,62.001459
500.0,500,62.478943
500.0,500,62.931168
349.0,349,63.266619
500.0,500,63.736312
500.0,500,64.205335
338.0,338,64.505311
224.0,224,64.713223
274.0,274,64.960836
193.0,193,65.160213
500.0,500,65.611693
233.0,233,65.821981
500.0,500,66.240323
263.0,263,66.521292
303.0,303,66.798921
287.0,287,67.06601
500.0,500,67.524619
471.0,471,67.981225
500.0,500,68.457383
500.0,500,68.920732
427.0,427,69.289198
472.0,472,69.730311
500.0,500,70.176919
500.0,500,70.645725
367.0,367,70.964094
268.0,268,71.205172
244.0,244,71.42858
336.0,336,71.755635
261.0,261,71.998697
362.0,362,72.314276
315.0,315,72.600193
315.0,315,72.904649
500.0,500,73.379851
388.0,388,73.741542
359.0,359,74.056061
500.0,500,74.513942
436.0,436,74.916676
387.0,387,75.272466
331.0,331,75.566465
500.0,500,76.021237
417.0,417,76.38436
203.0,203,76.590267
251.0,251,76.819207
490.0,490,77.27458
493.0,493,77.730339
271.0,271,77.974209
500.0,500,78.450742
405.0,405,78.827111
278.0,278,79.069757
425.0,425,79.428802
340.0,340,79.758613
500.0,500,80.221658
500.0,500,80.684004
435.0,435,81.053117
252.0,252,81.277652
373.0,373,81.633833
425.0,425,82.010278
486.0,486,82.459289
262.0,262,82.696257
395.0,395,83.052587
500.0,500,83.509953
500.0,500,83.976386
500.0,500,84.447134
500.0,500,84.906103
235.0,235,85.129941
500.0,500,85.603746
500.0,500,86.044152
436.0,436,86.420743
430.0,430,86.82102
405.0,405,87.213988
294.0,294,87.477947
500.0,500,87.932453
500.0,500,88.38702
354.0,354,88.696299
