#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
16.0,16,8.475957
55.0,55,8.541416
31.0,31,8.562892
25.0,25,8.580237
50.0,50,8.614813
36.0,36,8.639762
59.0,59,8.680509
60.0,60,8.752835
84.0,84,8.817366
88.0,88,8.879966
12.0,12,8.888555
87.0,87,8.985485
87.0,87,9.045738
23.0,23,9.061738
32.0,32,9.084621
33.0,33,9.107498
37.0,37,9.133148
37.0,37,9.18359
27.0,27,9.202312
21.0,21,9.216872
17.0,17,9.228701
13.0,13,9.237744
24.0,24,9.254374
53.0,53,9.291025
14.0,14,9.300756
53.0,53,9.337392
65.0,65,9.407517
32.0,32,9.43028
97.0,97,9.501132
84.0,84,9.584965
36.0,36,9.610054
40.0,40,9.637846
96.0,96,9.704269
52.0,52,9.740246
37.0,37,9.794159
13.0,13,9.80401
17.0,17,9.816029
37.0,37,9.841963
18.0,18,9.854658
74.0,74,9.906456
22.0,22,9.922207
56.0,56,9.969041
63.0,63,10.041662
48.0,48,10.075902
53.0,53,10.11375
28.0,28,10.133673
37.0,37,10.159962
47.0,47,10.218647
37.0,37,10.24485
40.0,40,10.273106
12.0,12,10.284315
77.0,77,10.338847
53.0,53,10.376397
64.0,64,10.457382
40.0,40,10.485778
30.0,30,10.507375
59.0,59,10.549446
12.0,12,10.557981
30.0,30,10.57926
32.0,32,10.601885
16.0,16,10.643122
65.0,65,10.689217
67.0,67,10.736845
69.0,69,10.785889
51.0,51,10.85007
49.0,49,10.885429
48.0,48,10.919954
38.0,38,10.949545
47.0,47,10.984937
31.0,31,11.007294
31.0,31,11.029356
114.0,114,11.133913
69.0,69,11.181212
14.0,14,11.191148
59.0,59,11.232769
26.0,26,11.27743
58.0,58,11.319119
40.0,40,11.347901
40.0,40,11.376657
37.0,37,11.403319
31.0,31,11.427764
33.0,33,11.478863
56.0,56,11.518462
73.0,73,11.573523
45.0,45,11.609283
66.0,66,11.656659
53.0,53,11.723461
79.0,79,11.780207
59.0,59,11.820972
53.0,53,11.858286
34.0,34,11.906646
49.0,49,11.945772
32.0,32,11.968774
20.0,20,11.982882
37.0,37,12.008841
39.0,39,12.04192
51.0,51,12.083657
34.0,34,12.133235
63.0,63,12.178463
27.0,27,12.198113
30.0,30,12.218894
94.0,94,12.283801
35.0,35,12.336875
16.0,16,12.348386
34.0,34,12.372598
65.0,65,12.419026
34.0,34,12.442944
59.0,59,12.484865
43.0,43,12.540018
69.0,69,12.595591
83.0,83,12.654527
12.0,12,12.663104
61.0,61,12.706388
27.0,27,12.725595
55.0,55,12.790967
34.0,34,12.815244
57.0,57,12.855756
92.0,92,12.921104
57.0,57,12.993237
64.0,64,13.037764
31.0,31,13.059774
30.0,30,13.081093
42.0,42,13.110926
11.0,11,13.118794
67.0,67,13.199113
18.0,18,13.211887
34.0,34,13.235953
38.0,38,13.26281
40.0,40,13.291078
61.0,61,13.334138
37.0,37,13.360278
43.0,43,13.418268
43.0,43,13.452029
90.0,90,13.515064
13.0,13,13.524338
54.0,54,13.562704
11.0,11,13.570601
